98,225,111,306
112,225,127,306
128,225,143,306
144,225,159,306
160,225,175,306
176,225,191,306
192,225,207,306
208,225,223,306
224,225,239,306
240,225,255,306
256,225,271,306
272,225,287,306
288,225,303,306
304,225,319,306
320,225,335,306
336,225,351,306
352,225,367,306
368,225,383,306
384,225,399,306
400,225,415,306
416,225,431,306
432,225,447,306
448,225,463,306
464,225,479,306
475,292,479,311
480,292,495,311
496,292,511,311
512,292,527,311
528,292,543,311
544,292,559,311
520,319,527,330
528,319,543,330
544,319,559,330
194,412,207,428
208,412,223,428
224,412,239,428
240,412,255,428
58,461,63,474
64,460,79,473
132,627,143,638
144,627,159,638
160,627,175,638
176,627,191,638
192,627,207,638
208,627,223,638
115,613,127,625
128,612,143,624
144,612,159,623
160,611,175,623
176,610,191,622
192,610,207,621
208,609,223,620
224,609,239,619
