331,151,335,284
336,151,351,284
352,151,367,284
368,151,383,284
384,151,399,284
400,151,415,284
416,151,431,284
432,151,447,284
448,151,463,284
464,151,479,284
480,151,495,284
496,151,511,284
512,151,527,284
528,151,543,284
544,151,559,284
560,151,575,284
576,151,591,284
592,151,607,284
608,151,623,284
624,151,639,284
640,151,655,284
656,151,671,284
672,151,687,284
688,151,703,284
704,151,719,284
720,151,735,284
736,151,751,284
460,288,463,328
464,288,479,328
480,288,495,328
496,288,511,328
512,288,527,328
528,288,543,328
544,288,559,328
560,288,575,328
576,288,591,328
592,288,607,328
608,288,623,328
456,427,463,475
464,427,479,475
480,427,495,475
496,427,511,475
512,427,527,475
528,427,543,475
544,427,559,475
560,427,575,475
576,427,591,475
592,427,607,475
608,427,623,475
472,476,479,495
480,476,495,495
496,476,511,495
512,476,527,495
528,476,543,495
544,476,559,495
560,476,575,495
576,476,591,495
735,529,735,603
736,529,751,603
752,529,767,603
768,529,783,603
784,529,799,603
800,529,815,603
816,529,831,603
832,529,847,603
848,529,863,603
864,529,879,603
