316,282,319,303
320,282,335,302
336,281,351,302
352,280,367,301
368,280,383,301
308,302,319,322
320,302,335,322
336,301,351,322
352,301,367,321
368,301,383,321
294,337,303,378
304,336,319,378
320,336,335,377
336,335,351,377
352,335,367,376
368,334,383,376
384,334,399,375
300,372,303,396
304,372,319,396
320,372,335,396
336,372,351,397
352,372,367,397
368,373,383,397
384,373,399,397
304,396,319,408
320,396,335,408
336,397,351,408
352,397,367,409
368,397,383,409
384,397,399,409
233,113,239,143
240,112,255,141
256,109,271,139
272,106,287,136
288,104,303,133
304,101,319,130
320,98,335,127
